Вид транспорта;Класс ТС;Транспорт;Пробег,км;Пробег по ПЛ, км;delta Пробег;delta Пробег, % (Пробег/ПЛ);Время в наряде, ч;Время ДВС, ч;Время работы по ПЛ, ч;delta Работа;delta Работа, % (ДВС/Пробег ПЛ);Факт. расход, л;Расход по ПЛ, л;delta Расход;delta Расход, % (Факт/ПЛ);Заправки, л;Заправки по ПЛ, л;delta Заправки;delta Заправки, % (Факт/ПЛ);Время ДО, ч;Работа ДО по ПЛ, ч;delta ДО;delta ДО, % (Факт/ПЛ)
Спецтехника;Сейсмический вибратор;НОМАД 65 СВ_2513мк_157749;0,0;0,0;0,0;0,00000000000;168,0;0,00;0,00;0,0;0,000000000000;0,1;0,0;0,1;0,0000000000000;0,0;0,0;0,0;0,0000000000000;0,0;0,0;0,0;-
Спецтехника;Сейсмический вибратор;НОМАД 65 СВ_4973ак_174241;0,0;0,0;0,0;0,00000000000;168,0;0,00;0,00;0,0;0,000000000000;115,7;0,0;115,7;0,0000000000000;93,4;0,0;93,4;0,0000000000000;0,0;0,0;0,0;-
Автотранспорт;Автоцистерна;Урал_ац_р901нм_080999;0,0;0,0;0,0;0,00000000000;0,0;0,00;0,00;0,0;0,000000000000;0,1;0,0;0,1;0,0000000000000;0,0;0,0;0,0;0,0000000000000;0,0;0,0;0,0;-
Автотранспорт;Шасси;Урал_АТЗ_р586от_081210;0,0;11,0;-11,0;1,00000000000;349,0;53,24;2,00;51,2;-25,621944444444;197,2;107,0;90,2;-0,8431629124217;269,4;0,0;269,4;0,0000000000000;0,0;0,0;0,0;-
Автотранспорт;Автоцистерна;Камаз_ац_р604нм_082532;0,0;88,2;-88,2;1,00000000000;399,8;8,19;2,00;6,2;-3,097083333333;21,0;265,8;-244,8;0,9210025734770;0,0;116,0;-116,0;1,0000000000000;0,0;0,0;0,0;-
Автотранспорт;Автоцистерна;Камаз_ац_р422рм_081406;391,5;587,0;-195,5;0,33307098516;1 678,0;668,99;2,00;667,0;-333,496388888889;1 942,5;2 158,2;-215,7;0,0999360572334;1 649,9;2 443,0;-793,1;0,3246473626904;0,0;0,0;0,0;-
Автотранспорт;Бортовой;Камаз_борт_к681ху_084918;2,2;4 873,0;-4 870,8;0,99955443176;551,4;37,44;33,00;4,4;-0,134528619529;0,0;1 957,3;-1 957,3;1,0000000000000;0,0;2 074,5;-2 074,5;1,0000000000000;0,0;0,0;0,0;-
Автотранспорт;Лаборатория;Урал_лаб-ия_р866тт_159221;5 190,2;5 858,4;-668,2;0,11406271506;7 616,8;983,53;1 305,60;-322,1;0,246680751294;1 309,9;13 820,7;-12 510,8;0,9052216853131;1 648,0;13 767,2;-12 119,2;0,8802951943750;0,0;0,0;0,0;-
Спецтехника;ДЭС;ДЭС-15 Т-400_171664;0,0;0,0;0,0;0,00000000000;2 212,0;2 108,81;0,00;2 108,8;0,000000000000;2 331,2;2 575,5;-244,3;0,0948417633922;2 313,6;2 252,0;61,6;-0,0273534635879;Нет ДО;0,0;-;-
Спецтехника;ДЭС;ДЭС-200_175839;0,0;0,0;0,0;0,00000000000;0,0;1 533,85;0,00;1 533,9;0,000000000000;0,0;0,0;0,0;0,0000000000000;0,0;0,0;0,0;0,0000000000000;Нет ДО;0,0;-;-
